title	id	price	clicks	unpaid clicks	sale price	condition	availability	Dynamic Remarketing - active	Dynamic Remarketing - disapproved or invalid	Free listings - active	Free listings - disapproved or invalid	Shopping ads - active	Shopping ads - disapproved or invalid	channel	feed label	language	additional image link	age group	brand	color	cost of goods sold	custom label 0	description	gender	google product category	gtin	identifier exists	image link	item group id	link	mpn	product type	sell on google quantity	shipping weight	size
Arcadia Furniture Rattan Storage Box - Oatmeal | OMF	shopify_AU_7590410813637_42625528234181	209.00 AUD	4	0		new	in stock	AU		AU		AU		Online	AU	en			Australian Business Mobiles			Receiving Clicks	"Organise your home and outdoors with the Arcadia Furniture Outdoor Rattan Storage Box. With a sturdy steel frame and a durable and contemporary wicker rattan outer layer, this storage box can be used both indoors and outdoors. Organise your toys, tools, pool equipment, books and other items with this storage box."		home & garden > lawn & garden > outdoor living		no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/10001755_1.jpg?v=1703781508		https://www.omf.net.au/products/arcadia-rattan-storage-box-oatmeal?variant=42625528234181&currency=AUD		Outdoor Storage	2	18 kg	
iContour GT8 Queen Mattress | OMF	shopify_AU_6955052073157_40788430586053	398.00 AUD	26	44	354.00 AUD	new	in stock	AU		AU		AU		Online	AU	en			Original Mattress Factory Australia			Receiving Clicks	"A green tea infused mattress, the high-density memory foam iContour GT8 helps keep bacteria at bay. Enjoy a comfortable sleep every night - buy online today!"	unisex	furniture > beds & accessories > mattresses		no	https://cdn.shopify.com/s/files/1/0523/6729/4661/products/GT8Styled-v3.png?v=1699461480		https://www.omf.net.au/products/gt8-qn-mattress?variant=40788430586053&currency=AUD		Mattress		28.79 kg	
Byron Plush Queen Mattress | OMF	shopify_AU_6153604530373_37877208645829	2946.00 AUD	7	5	1355.00 AUD		in stock	AU		AU		AU		Online	AU	en			Original Mattress Factory Australia			Receiving Clicks	"If you're after the best plush mattress in Australia, shop the natural and eco-friendly Byron mattress today. Enjoy the most cOMFy sleep night after night!"	unisex	furniture > beds & accessories > mattresses		no	https://cdn.shopify.com/s/files/1/0523/6729/4661/products/ByronFA.jpg?v=1699461288		https://www.omf.net.au/products/byron-plush-qn-mattress?variant=37877208645829&currency=AUD		Mattress		0 kg	
Zara Fluted 2 Drawer White Console Table | OMF	shopify_AU_7425212645573_42183022346437	119.99 AUD	19	1			in stock	AU		AU		AU		Online	AU	en			Meubilair			Receiving Clicks	The Elegant Zara Fluted console side table will match perfectly to your lounge or bedroom at an affordable price. Available in white colour. Order online today!		furniture > tables > accent tables			https://cdn.shopify.com/s/files/1/0523/6729/4661/files/ZiaConsole-203685-WHT_web_1.jpg?v=1699634095		https://www.omf.net.au/products/zara-fluted-2-drawer-console-table-white?variant=42183022346437&currency=AUD		Furniture	3	19.5 kg	
Sabrina Bedspread Set Blue Queen | OMF	shopify_AU_7562961223877_42544109781189	254.00 AUD	0	0		new	in stock	AU		AU		AU		Online	AU	en			Bianca			Receiving Clicks	"This fabulously fetching provincial blue queen bedspread, flaunting a florid pattern and captivating blue embroidery, is a real statement of class and style! Sabrina is da bomb!"		home & garden > linens & bedding > bedding > quilts & comforters		no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/QSABKSABSKSAB-1_e4c5be84-8eee-4638-910a-ee5ca6b4f746.jpg?v=1701967207		https://www.omf.net.au/products/sabrina-bedspread-set-blue-qn?variant=42544109781189&currency=AUD		bedspreads	40	0 kg	
Kitchen Island Trolley | OMF	shopify_AU_6580527857861_39419171209413	269.00 AUD	0	0		new	in stock	AU		AU		AU		Online	AU	en			Meubilair		172.00 AUD	Receiving Clicks	You will love our Kitchen Island Trolley - a transportable bench top and storage unit complete with shelves drawers hooks and towel rods. Order online today!		furniture > carts & islands > kitchen & dining carts		no	https://cdn.shopify.com/s/files/1/0523/6729/4661/products/KitchenIslandTrolley102052-06b.jpg?v=1616408679		https://www.omf.net.au/products/kitchen-island-trolley?variant=39419171209413&currency=AUD		Furniture	4	0 kg	
Royal Comfort 3000 Thread Count Bamboo Cooling Sheet Set King Denim | OMF	shopify_AU_7552841482437_42520701239493	72.95 AUD	0	0		new	in stock	AU		AU		AU		Online	AU	en			Australian Business Mobiles			Receiving Clicks	"Upgrade your sleeping experience with the 3000 Thread Count Sheet Set. This 3000 Thread Count Sheet Set is made from an ultra-soft blend of 30% bamboo and 70% microfibre. The mix of natural and synthetic fibres ensures both a comfortable sleeping experience and a natural feel. Its hypoallergenic qualities, vibrant colour, high thread count and buttery-soft feel on the skin combine to ensure that great nights sleep. Features: - Brand: Royal Comfort - High 3000 thread count - Ultra-soft 120GSM - Natural feel and a comfortable sleeping experience - 30% bamboo, 70% microfibre - Sleep in cool and luxurious comfort - Premium softness and breathable quality - Deep 40cm fitted sheet pocket accommodates most mattresses (including pillowtop) - Hypoallergenic and easy care - Moisture wicking and antibacterial - Vibrant colour - Silky finish and feel - Each set comes with 1 x flat sheet, 1 x fitted sheet and 2 x pillowcases ﻿Online Only"		home & garden > linens & bedding > bedding > bed sheets		no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/10003775_1c.jpg?v=1700670911		https://www.omf.net.au/products/royal-comfort-3000-thread-count-bamboo-cooling-sheet-set-kg-denim?variant=42520701239493&currency=AUD		bed sheets	13	0 kg	
Mansfield Sherpa Blanket Charcoal Super King | OMF	shopify_AU_7558642761925_42530420523205	169.00 AUD	1	0		new	in stock	AU		AU		AU		Online	AU	en			Bianca			Receiving Clicks	"Mansfield—named for that gorgeous Victorian high country—is the winter-ready snuggle blanket of your dreams! We've taken soft velvet and crafted it into a quilted masterpiece, then topped it off with a cosy sherpa reverse for maximum huggability. Slumbering in comfy-town has never been easier!"		home & garden > linens & bedding > bedding > blankets		no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/SMBCQMBCSKMBC1.jpg?v=1701102928		https://www.omf.net.au/products/mansfield-sherpa-blanket-charcoal-sk?variant=42530420523205&currency=AUD		Blanket	50	0 kg	
Mansfield Sherpa Blanket Charcoal Queen/King | OMF	shopify_AU_7564204638405_42549485732037	139.00 AUD	0	0		new	in stock	AU		AU		AU		Online	AU	en			Bianca			Receiving Clicks	"Mansfield—named for that gorgeous Victorian high country—is the winter-ready snuggle blanket of your dreams! We've taken soft velvet and crafted it into a quilted masterpiece, then topped it off with a cosy sherpa reverse for maximum huggability. Slumbering in comfy-town has never been easier!"		home & garden > linens & bedding > bedding > blankets		no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/SMBCQMBCSKMBC1_2648cb1c-fe78-4925-b5f1-6d21f6c4a67b.jpg?v=1701967654		https://www.omf.net.au/products/mansfield-sherpa-blanket-charcoal-qn-kg?variant=42549485732037&currency=AUD		Blanket	50	0 kg	
Ezy Diamond Midnight Grey King Bedhead | OMF	shopify_AU_7528911700165_42470420152517	448.00 AUD	1	0	381.00 AUD		in stock	AU		AU		AU		Online	AU	en			Original Mattress Factory Australia			Receiving Clicks	"Elevate your bedroom style with the Ezy Diamond Midnight Grey King Bedhead from OMF. A proven blend of comfort and elegance. Perfect choice to revamp your sleep space!
"		furniture > beds & accessories > headboards & footboards			https://cdn.shopify.com/s/files/1/0523/6729/4661/files/EzyDiamond_BH_SG_MG_02_29b7d173-445a-46ea-84c1-f7355f0e2447.jpg?v=1698770278		https://www.omf.net.au/products/ezy-diamond-midnight-grey-kg-bedhead?variant=42470420152517&currency=AUD		Bedhead		0 kg	
Essentials BiB Queen Bed Frame with USB | OMF	shopify_AU_6955040473285_41667641704645	398.00 AUD	4	38	358.00 AUD	new	in stock	AU		AU		AU		Online	AU	en			Original Mattress Factory Australia			Receiving Clicks	Shop essential grey bed frame with unique USB charging ports on either side of the headboard. Order Now! 		furniture > beds & accessories > beds & bed frames		no	https://cdn.shopify.com/s/files/1/0523/6729/4661/products/EssentialBIBUSBStyled1K.png?v=1700066267		https://www.omf.net.au/products/essential-bed-frame-with-usb-charging?variant=41667641704645&currency=AUD		Bed Frame		0 kg	
Heston 300TC Fitted Sheet Combo Set Steel Blue King Single | OMF	shopify_AU_7562382770373_42542656028869	59.00 AUD	0	0		new	in stock	AU		AU		AU		Online	AU	en			Bianca			Receiving Clicks	"Experience the softness of our 300 thread count cotton percale combo sets, crafted with an easy care fabric that's smooth and reliable. Choose from various colors to match your bedding decor. The sheet's 40cm wall depth accommodates most mattresses, and the set includes one fitted sheet plus two standard pillowcases."		home & garden > linens & bedding > bedding > bed sheets		no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/1SHCBKSHCBDHCBQHCBKHCBSKHCBLSHCB_53435dc2-1980-4526-93ad-32a90fa5980b.jpg?v=1702053369		https://www.omf.net.au/products/heston-300-thread-count-fitted-sheet-combo-set-steel-blue-ks?variant=42542656028869&currency=AUD		bed sheets	69	0 kg	
Royal Comfort 4 Piece Satin Sheet Set King Malaga Wine | OMF	shopify_AU_7552842301637_42520702419141	54.00 AUD	6	0		new	in stock	AU		AU		AU		Online	AU	en			Australian Business Mobiles			Receiving Clicks	"Luxuriate in this satin sheet set, made from 100% polyester for a rich and silky feel without the high cost. Completely seamless with a generous fit for deep mattresses, it's perfect for year-round use and adds sophistication to any bedroom. Wake up feeling refreshed with these soft and luxurious sheets, naturally wrinkle-free for uninterrupted sleep. Features: - Brand: Royal Comfort - Glides over the skin for a cool, refreshing sleep - Naturally wrinkle-free properties - Each set comes with 1 x flat sheet, 1 x fitted sheet and 2 x pillowcases - Materials: 100% Satin Polyester / 85GSM - Generous 40cm wall - Packed in a reusable fabric bag"		home & garden > linens & bedding > bedding > bed sheets		no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/10003480_4.jpg?v=1704423996		https://www.omf.net.au/products/royal-comfort-4-piece-satin-sheet-set-kg-malaga-wine?variant=42520702419141&currency=AUD		bed sheets	1	0 kg	
Channel Gaslift Double Bed Frame | OMF	shopify_AU_7510214869189_42426905493701	848.00 AUD	0	0	678.00 AUD		in stock	AU		AU		AU		Online	AU	en			Original Mattress Factory Australia			Receiving Clicks	"Experience the ultimate comfort and style with our Channel Gaslift Double Bed Frame. Perfect match for modern decors, featuring easy lifting for ample storage. Invest in good sleep today!
"		furniture > beds & accessories > beds & bed frames			https://cdn.shopify.com/s/files/1/0523/6729/4661/files/ChannelBedwithGasLiftFW12_0825c6b9-7e56-4b1e-9bf6-d5fbad3636ce.jpg?v=1697733366		https://www.omf.net.au/products/channel-gaslift-double-bed-frame?variant=42426905493701&currency=AUD		Bed Frame		0 kg	
Kamala Queen Cream Bedspread Set | OMF	shopify_AU_7708424962245_43004751773893	214.00 AUD	2	1		new	in stock	AU		AU		AU		Online	AU	en			Bianca			Receiving Clicks	"Indulgently quilted, the Bianca Kamala bedding is a masterclass in subtlety and style with its intricately raised wave pattern. A luxuriously soft, textured material, this range bed linens are lightweight and perfect for balmy evenings."		home & garden > linens & bedding > bedding > quilts & comforters		no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/SKAMKSKAMDKAMQKAMKKAMSKKAM-4_ebafa4e8-484e-4095-9295-7cda80736e50.jpg?v=1711029401		https://www.omf.net.au/products/kamala-qn-cream-polyester-bedspread-set?variant=43004751773893&currency=AUD		bedspreads	120	3.8 kg	
Aspen Square Sky Blue Cushion | OMF	shopify_AU_7708423946437_43004745810117	34.00 AUD	0	1		new	in stock	AU		AU		AU		Online	AU	en			Bianca			Receiving Clicks	"Transform your bedroom with Aspen, a gorgeous provincial cushion featuring intricate embroidery in a charming medallion pattern. Experience sophistication and calm with a touch of whimsy in this statement piece."		home & garden > linens & bedding > bedding > pillowcases & shams		no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/SQASP.jpg?v=1711012477		https://www.omf.net.au/products/aspen-sqr-sky-blue-polyester-cushion?variant=43004745810117&currency=AUD		Cushion	150	0.6 kg	
Aiden Gold Steel Kitchen Stool Natural Linen | OMF	shopify_AU_7559883194565_42532510073029	259.00 AUD	0	0		new	in stock	AU		AU		AU		Online	AU	en			Cafe Lighting			Receiving Clicks	"Perfectly proportioned for kitchens and beneath counter tops, this stunning kitchen stool takes urban oasis to new heights. Creating contemporary drama with its geometric antique gold steel base, the Aiden kitchen stool is designed to offer comfort and quality with its neatly tailored natural linen mix cushion and varying height tubular steel footrests. Sleek and chic, the Aiden gold kitchen stool adds the perfect pinch of glamour to your interiors."		furniture > chairs > table & bar stools		no	https://cdn.shopify.com/s/files/1/0523/6729/4661/products/32201_1.jpg?v=1700314633		https://www.omf.net.au/products/aiden-gold-steel-kitchen-stool-natural-linen?variant=42532510073029&currency=AUD		Furniture	90	4 kg	
Royal Comfort Goose Feather & Down Quilt - King Single | OMF	shopify_AU_7590413795525_42625531576517	64.95 AUD	0	4		new	in stock	AU		AU		AU		Online	AU	en			Australian Business Mobiles			Receiving Clicks	Royal Comfort Goose Feather & Down Quilt - King Single		home & garden > linens & bedding > bedding > quilts & comforters		no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/10001676_1.jpg?v=1704634687		https://www.omf.net.au/products/royal-comfort-goose-feather-down-quilt-kg-sg?variant=42625531576517&currency=AUD		quilt covers	21	3 kg	
Royal Comfort Blended Bamboo Sheet King Set charcoal | OMF	shopify_AU_7552771064005_42520556175557	40.00 AUD	0	0		new	in stock	AU		AU		AU		Online	AU	en			Australian Business Mobiles			Receiving Clicks	"Upgrade your bedroom and indulge in a deep and restful sleep with the Pure Soft Bamboo Rich Sheet Set, designed by Royal Comfort. Revolutionary softness is what you get with this Bamboo Rich Sheet Set’s 1000TC pure soft feel. With an optimum, luxury blend of 40% natural bamboo and 60% premium microfibre, it has been designed to be satin smooth and lightweight, offering itself as a practical option for year-round comfort.The bamboo fibres in this Bamboo Rich Sheet Set are expertly crafted into a natural, environmentally-friendly, temperature-regulating and durable fabric that works to ensure moisture wicking, leading to a comfortable sleep environment. The bamboo fibres’ inherent thermal-regulating properties guarantee that you keep warm in winter and cool in summer. Alongside this, the Bamboo Rich Sheet is hypoallergenic, anti-microbial and odour-resistant, making it a great product for those who suffer from allergies. With this sheet set’s attractive, silken lustre, and its premium bamboo rich combination, experience unmatched comfort and style with the Pure Soft Bamboo Rich Sheet Set, designed by Royal Comfort. Features:Brand: Royal ComfortThermal-regulating properties guarantee that you keep warm in winter and cool in summer1000 thread countOpulent blend of 40% natural bamboo and 60% premium microfibreHypoallergenic, anti-microbial and odour-resistantPerfect for all-seasonsPure soft feel and finishHighly breathableExperience revolutionary softness, luxury and comfortSize, Dimensions and Contents: Queen Sheet Set: 1 x Flat Sheet (245cm x 274cm)1 x Fitted Sheet (152cm x 203cm + 40cm)2 x Pillowcases (48cm x 73cm)King Sheet Set: 1 x Flat Sheet (260cm x 275cm)1 x Fitted Sheet (182cm x 203cm + 40cm)2 x Pillowcases (48cm x 73cm) Online only"		home & garden > linens & bedding > bedding > bed sheets		no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/10002293_1_67c57ba9-ab23-4297-9c4f-a9986e055085.jpg?v=1699979784		https://www.omf.net.au/products/royal-comfort-blended-bamboo-sheet-king-set?variant=42520556175557&currency=AUD		bed sheets	730	1.43 kg	
Premium 4 Drawer East West Base Super King / Mania Licorice | OMF	shopify_AU_6173705109701_42446623768773	1498.00 AUD	0	0			in stock	AU		AU		AU		Online	AU	en	https://cdn.shopify.com/s/files/1/0523/6729/4661/products/EastWest4DCA.jpg?v=1698130252,https://cdn.shopify.com/s/files/1/0523/6729/4661/products/EastWest4DFOA.jpg?v=1698130252,https://cdn.shopify.com/s/files/1/0523/6729/4661/products/EastWest4DOA.jpg?v=1698130252,https://cdn.shopify.com/s/files/1/0523/6729/4661/files/BEACHCOMBER-MIST_695e4626-0137-4fd9-ae81-b5a547b36d5f.jpg?v=1698130308,https://cdn.shopify.com/s/files/1/0523/6729/4661/files/MANISASTONE_d90d5836-4b22-4291-833c-7c008e093d42.jpg?v=1698130308,https://cdn.shopify.com/s/files/1/0523/6729/4661/files/Rover-Ocean.jpg?v=1698130448,https://cdn.shopify.com/s/files/1/0523/6729/4661/files/plush-sky_c478961a-bd33-4c02-aa37-8cdc12cc3d8f.jpg?v=1698130475,https://cdn.shopify.com/s/files/1/0523/6729/4661/files/Beachcomber-Midnight_9eec363f-a4a2-4a99-8907-b935c452ace1.jpg?v=1698130485		Original Mattress Factory Australia	Mania Licorice		Receiving Clicks	The Premium 4 Drawer East West Base is the perfect bedroom addition. This platform base offers modern style and storage solutions. See it online today! 				no	https://cdn.shopify.com/s/files/1/0523/6729/4661/products/Manisa_Licorice_7235d65d-7d25-4533-b07c-72d6cf6ef58d.png?v=1698130308	shopify_AU_6173705109701	https://www.omf.net.au/products/premium-4-drawer-east-west-base?variant=42446623768773&currency=AUD		Beds & Bases		0 kg	Super King
Pursonic Smart Touch X3 Dehumidifier | OMF	shopify_AU_6907739537605_40641788346565	73.00 AUD	0	9			in stock	AU		AU		AU		Online	AU	en			Australian Business Mobiles			Receiving Clicks	"Purify your home with the Pursonic 600ml Smart Touch X3 Dehumidifier.This dehumidifier uses thermo-electric (Peltier) technology to remove moisture quickly from the air, keeping you comfortable and cool.This versatile dehumidifier is suitable for use in small spaces, such as your bedroom, bathroom, kitchen, basement, or wardrobe. It is also easy to use, with one-touch control. Features:Brand: PursonicModel: Smart Touch X3Peltier technologyLow power consumption600ml capacityOne-touch controlQuiet operationPortable designColour: White, GreenModern and elegant designAuto turn off function when the tank is fullEasy to cleanEasy to useSpecifications:Product Size: 14.6cm x 14.6cm x 22.6cmWorking Capacity: 300ml/DCoverage Area: 15m2 (approx.)Input: AC100-240V. 50/60HzPackage Contents:1 x Dehumidifier Online only"		home & garden			https://cdn.shopify.com/s/files/1/0523/6729/4661/products/10001729_10.jpg?v=1643290511		https://www.omf.net.au/products/pursonic-smart-touch-x3-dehumidifer?variant=40641788346565&currency=AUD		Dehumidifier	972	1.1 kg	
