title	id	price	clicks	unpaid clicks	sale price	condition	availability	Dynamic Remarketing - active	Dynamic Remarketing - disapproved or invalid	Free listings - active	Free listings - disapproved or invalid	Shopping ads - active	Shopping ads - disapproved or invalid	channel	feed label	language	additional image link	brand	color	cost of goods sold	custom label 0	description	gender	google product category	identifier exists	image link	item group id	link	product type	sell on google quantity	shipping weight	size
Silky Cool Tencel Double Mattress Protector | OMF	shopify_AU_7520658096325_42453154136261	179.00 AUD	3	0			in stock	AU		AU		AU		Online	AU	en	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/MattressCover_SilyCool_70e2eda2-ae22-4863-b106-da89220221b2.jpg?v=1700537788	Original Mattress Factory Australia			Receiving Clicks	"Sleep soundly with our Silky Cool Tencel Double Mattress Protector. Designed for long-lasting comfort, it ensures your mattress stays fresh and clean. Shop for enhanced sleep quality at OMF today.
"		home & garden > linens & bedding > bedding > mattress protectors		https://cdn.shopify.com/s/files/1/0523/6729/4661/files/TencelSig_MP_Double_966d44ee-076d-44dc-aa1a-db05986982e6.jpg?v=1700537788		https://www.omf.net.au/products/silky-cool-tencel-double-mattress-protector?variant=42453154136261&currency=AUD	Mattress Protector		0 kg	
Foam Double Mattress | OMF	shopify_AU_7461567201477_42272300073157	139.00 AUD	88	15			in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia		53.24 AUD	Receiving Clicks	Experience comfort like never before with OMF's Foam Double Mattress. Engineered for perfect support and ultimate sleep quality. Find your peaceful slumber today.	unisex	furniture > beds & accessories > mattresses	no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/AUMATMEDBFOAMATDOUBLEOMF1KX300.jpg?v=1689697900		https://www.omf.net.au/products/foam-double-mattress?variant=42272300073157&currency=AUD	Mattress		5 kg	
Yarra Tallboy 4 Drawers Ghost Gum | OMF	shopify_AU_7561603088581_42538473488581	1298.00 AUD	1	0	1168.00 AUD	new	in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	The Yara 4 drawer tallboy chest is perfect item to give your bedroom an ideal modern classic but simple look and style. It’s the perfect piece to wake up next to. 		furniture > cabinets & storage > storage chests	no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/Chest02.jpg?v=1700498532		https://www.omf.net.au/products/yarra-tallboy-4-wide-drawers-ghost-gum?variant=42538473488581&currency=AUD	Tallboy		55 kg	
Microfibre Jersey Plus Queen Mattress Protector Pack | OMF	shopify_AU_7445707915461_42221257523397	69.95 AUD	1	2			in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	"Enjoy a restful and comfortable sleep with this Microfibre Jersey Plus Mattress and Pillow Protector Pack. Made with a breathable jersey weave for a superior stretch, it is waterproof and conforms to Oeko Tex standards. Moreover, it provides an asthma and allergy-friendly solution. Backed by a 5-year stain safety guarantee, it is an excellent choice for your essential mattress protection. Key features: Fits all standard and extra deep mattresses. 5-year Stain safety guarantee Machine washable and tumble dry. Available in 5 Sizes The pack contains1 Mattress protector2 Pillow Protectors (1 pillow protector with either the single and king single set)Care / Washing instructionsmachine wash on a cold or warm gentle cycle. Do not use solvents. Rinse well on a gentle spin cycle"		home & garden > linens & bedding > bedding > mattress protectors		https://cdn.shopify.com/s/files/1/0523/6729/4661/files/MicrofibreJerseyPlus_1.png?v=1700584573		https://www.omf.net.au/products/microfibre-jersey-qn-mattress-protector?variant=42221257523397&currency=AUD	Mattress Protector		0 kg	
Cloud7 Firm Queen Mattress | OMF	shopify_AU_6592842825925_39471025324229	4188.00 AUD	4	11	1885.00 AUD	new	in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	"For unparalleled support, choose the quality of a Cloud Firm Mattress. Enjoy soft support with the 7-zone pocket spring & comfort cloud memory foam. Buy now!"	unisex	furniture > beds & accessories > mattresses	no	https://cdn.shopify.com/s/files/1/0523/6729/4661/products/Cloud7Firm1K.jpg?v=1699461380		https://www.omf.net.au/products/cloud7-firm-qn-mattress?variant=39471025324229&currency=AUD	Mattress		0 kg	
Mandalay Bay Plush Super King Mattress | OMF	shopify_AU_7494179127493_42378081337541	4974.00 AUD	0	0	2338.00 AUD	new	in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	"Experience luxury sleep with the Mandalay Bay Plush Super King Mattress by OMF. Superior support, lavish comfort - a matchless blend for an unparalleled sleep. Upgrade your bedtime routine today!
"	unisex	furniture > beds & accessories > mattresses	no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/MANDALAY_BAY_QN_PL_22087566-b4a8-4832-8b3a-1882c0e13917.gif?v=1695943747		https://www.omf.net.au/products/mandalay-bay-plush-sk-mattress?variant=42378081337541&currency=AUD	Mattress		0 kg	
Ocean Choice 7 Latex Queen Mattress Topper | OMF	shopify_AU_7272865890501_41762742370501	268.00 AUD	9	16			in stock	AU		AU		AU		Online	AU	en	https://cdn.shopify.com/s/files/1/0523/6729/4661/products/ModernMotionBedFrameOceanChoice7raised800x72_cf35cb60-2be5-491c-a046-6753a6e2bd07.png?v=1700584521	Original Mattress Factory Australia		49.51 AUD	Receiving Clicks	Give your Ocean Choice 7 a unique feel with this cOMFy Latex Topper finished in a zipped non-woven fabric. Comfort for you & the planet!  		home & garden > linens & bedding > bedding > mattress protectors > mattress pads		https://cdn.shopify.com/s/files/1/0523/6729/4661/products/OC7LTX_477d0d18-453a-4780-a4c2-d770ea8a38a7.jpg?v=1700584520		https://www.omf.net.au/products/ocean-choice-7-latex-qn-mattress-topper?variant=41762742370501&currency=AUD	Mattress Topper		3.5 kg	
Cloud7 Medium King Mattress | OMF	shopify_AU_7492109762757_42373346001093	4488.00 AUD	11	6	2020.00 AUD	new	in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	"Experience ultimate comfort with the Cloud7 Medium King Size Mattress from OMF. An exceptional blend of support and softness ensures a rejuvenating sleep. Upgrade your bedtime today.
"	unisex	furniture > beds & accessories > mattresses	no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/CNMATMEKGCLOUD7_FA_16809365-14a9-4300-b826-56aa2389c1e6.jpg?v=1699461639		https://www.omf.net.au/products/cloud7-kg-medium?variant=42373346001093&currency=AUD	Mattress		0 kg	
Bamboo Jersey Plus King Mattress Protector | OMF	shopify_AU_7526153552069_42466525544645	109.95 AUD	0	1			in stock	AU		AU		AU		Online	AU	en	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/BambooJerseyPlusStyled_c6d70a37-ad07-424d-aec1-c145326519e8.jpg?v=1698684049,https://cdn.shopify.com/s/files/1/0523/6729/4661/files/BambooJerseyPlusPillowProtector_f2719c81-030b-4bf6-8e02-831b92ec9aaa.jpg?v=1698684050,https://cdn.shopify.com/s/files/1/0523/6729/4661/files/BambooJerseyPlusMattProtector_0c6f99d8-a6cd-43ef-9e98-cca2c3872e78.jpg?v=1698684051,https://cdn.shopify.com/s/files/1/0523/6729/4661/files/BambooJerseyPlusZipper_7db17d32-57c6-4f63-81db-b2985be766fc.jpg?v=1698684052	Original Mattress Factory Australia		45.00 AUD	Receiving Clicks	"Safeguard your mattress with our Bamboo Jersey Plus King Mattress Protector. Experience ultimate comfort and protection against spills, allergies, and bed bugs. Invest in your sleep health today with OMF.
"		home & garden > linens & bedding > bedding > mattress protectors		https://cdn.shopify.com/s/files/1/0523/6729/4661/files/BambooJerseyPlus_1_e8b17b74-6260-4a64-b645-1fea2e2fe43f.png?v=1698684048		https://www.omf.net.au/products/bamboo-jersey-plus-kg-mattress-protector?variant=42466525544645&currency=AUD	Mattress Protector		0 kg	
Elegance Firm King Mattress | OMF	shopify_AU_7492897538245_42375632257221	3848.00 AUD	1	6	1626.00 AUD	new	in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	Elevate your sleep experience with the Elegance Firm King Mattress from OMF. Its unmatched comfort and durability makes it an ideal pick for long-lasting support. Order yours today.	unisex	furniture > beds & accessories > mattresses	no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/EleganceFirmFA_b17637a7-5939-497a-9e8c-743d368abcff.png?v=1695918917		https://www.omf.net.au/products/elegance-firm-king-mattress?variant=42375632257221&currency=AUD	Mattress	27	0 kg	
Ezy Standard Bed Base King Single Midnight Grey | OMF	shopify_AU_7544694145221_42500627759301	328.00 AUD	1	0			in stock	AU		AU		AU		Online	AU	en	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/EzyBase_MG_Q_RA_01_27bb04ae-e42e-494b-9178-58660438c369.jpg?v=1711125234,https://cdn.shopify.com/s/files/1/0523/6729/4661/files/EzyBase_MG_Q_RA_02_e0000e09-98fb-42d9-8220-b3c337fb888e.jpg?v=1711125235,https://cdn.shopify.com/s/files/1/0523/6729/4661/files/EzyBase_MG_Q_FT_01_dde58a0a-02a8-4840-8564-f3a1d2f19b9b.jpg?v=1711125237,https://cdn.shopify.com/s/files/1/0523/6729/4661/files/EzyBase_PlatBlu_Q_RA_02_f50f92be-bdb3-4d95-8595-c5bc1ce465aa.jpg?v=1711125238,https://cdn.shopify.com/s/files/1/0523/6729/4661/files/EzyBase_PlatBlu_Q_RA_01_821a5147-e4bb-4168-890f-da4263bd1189.jpg?v=1711125240,https://cdn.shopify.com/s/files/1/0523/6729/4661/files/EzyBase_PlatBlu_Q_FT_01_1c2beb41-966f-480f-a09b-a50af59e6503.jpg?v=1711125242,https://cdn.shopify.com/s/files/1/0523/6729/4661/files/EzyBase_PlatBlu_Q_FT_02_b6e7ddb6-4bbb-40cb-a603-c5015730ef20.jpg?v=1711125244,https://cdn.shopify.com/s/files/1/0523/6729/4661/files/EzyBase_PlatBlu_Q_SC_767a0e37-eca5-4640-847d-c304f62db271.jpg?v=1711125245,https://cdn.shopify.com/s/files/1/0523/6729/4661/files/MidnightGrey_455fa20b-5d22-4628-9881-adaaba2e094c.jpg?v=1711125247	Original Mattress Factory Australia			Receiving Clicks	Designed to make it stylish and stand out. This OMF Bed Base comes in a box and can be easily transported anywhere. Order online today!		furniture > beds & accessories > beds & bed frames		https://cdn.shopify.com/s/files/1/0523/6729/4661/files/EzyBase_MG_Q_FT_02_b94c2d02-8ef8-46d6-8b3b-42f74d967c39.jpg?v=1711125232		https://www.omf.net.au/products/ezy-standard-base-ks?variant=42500627759301&currency=AUD	Beds & Bases		0 kg	
Refresh King Single Mattress Firm | OMF	shopify_AU_7488145817797_42359571087557	2746.00 AUD	3	1	1263.00 AUD	new	in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	Experience quality rest with the Refresh King Single Mattress Firm from OMF. Expertly designed for optimal comfort and support. Order for long-lasting resilience and a firm night's sleep.	unisex	furniture > beds & accessories > mattresses	no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/RefreshFirmFA_7bab0690-0884-4aa6-a046-3283e4b14b5f.png?v=1695054810		https://www.omf.net.au/products/refresh-king-single-mattress-firm?variant=42359571087557&currency=AUD	Mattress		0 kg	
Revivify Soft King Mattress | OMF	shopify_AU_7594117890245_42640345989317	948.00 AUD	0	0	825.00 AUD	new	in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	"With its Euro-top pillow, this hybrid firm mattress offers a soft feel with quality sleep night after night that you will love. For the best bed in box, order now!"	unisex	furniture > beds & accessories > mattresses	no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/Revivify-Soft-FA01_d09b1d2d-60ec-4fc9-93eb-e651162b977a.jpg?v=1703695110		https://www.omf.net.au/products/revivify-soft-kg-mattress?variant=42640345989317&currency=AUD	Mattress		24.32 kg	
Mandalay Bay Support Queen Mattress | OMF	shopify_AU_6588765143237_39459372138693	3974.00 AUD	12	13	1868.00 AUD	new	in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	The luxurious 5 zone Mandalay Bay mattress features European micro Tencel fabric & Visco memory foam layers for pressure relief. Shop comfort mattresses!	unisex	furniture > beds & accessories > mattresses	no	https://cdn.shopify.com/s/files/1/0523/6729/4661/products/MandalayBayPlushQN500x72.jpg?v=1699461375		https://www.omf.net.au/products/mandalay-bay-support-medium-qn-mattress?variant=39459372138693&currency=AUD	Mattress		0 kg	
Quinn Tallboy 6 Drawer White | OMF	shopify_AU_7459193520325_42265466601669	698.00 AUD	122	9			in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia		285.00 AUD	Receiving Clicks	"Elevate your bedroom style with the Quinn Tallboy 6 Drawer! This tallboy storage solution screams sophistication, with its 6 drawers, provincial-style legs, and button drawer handles. It's perfect for organising clothes, bedding, or other items in a space-efficient and elegant way! Complete your bedroom decor withQuinn 3 Drawer bedside tableQuinn 3 Drawer Bed Frame Queen or King"		furniture > cabinets & storage > storage chests		https://cdn.shopify.com/s/files/1/0523/6729/4661/files/Quinn6DrawerTallboy.jpg?v=1689179534		https://www.omf.net.au/products/quinn-tallboy-6-drawer-white?variant=42265466601669&currency=AUD	Tallboy		0 kg	
Mornington Plush King Single Mattress | OMF	shopify_AU_7817956262085_43314042863813	1998.00 AUD	3	0	999.00 AUD	new	in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	The Mornington Mattress range from OMF it features 3 comfort feels and 6 sizes to choose from and is motion bed friendly - it's a game changer for your sleep routine! 	unisex	furniture > beds & accessories > mattresses	no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/MORNINGTONPlushMODERN1K_95f072f2-f771-44f3-aea3-85babbb1853f.png?v=1713516301		https://www.omf.net.au/products/mornington-plush-ks-mattress?variant=43314042863813&currency=AUD	Mattress		0 kg	
Refresh Long Single Mattress Firm | OMF	shopify_AU_7488146276549_42359572824261	2746.00 AUD	0	0	1263.00 AUD	new	in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	"Experience restful nights with OMF's Refresh Long Single Mattress Firm. Ideal for single beds, offering firm support for a rejuvenating sleep. Choose comfort and quality."	unisex	furniture > beds & accessories > mattresses	no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/RefreshFirmFA_5a956abd-7471-47d4-b85c-c9e5c015c522.png?v=1695054817		https://www.omf.net.au/products/refresh-long-single-mattress-firm?variant=42359572824261&currency=AUD	Mattress		0 kg	
Cloud7 Firm King Mattress | OMF	shopify_AU_7492109566149_42373345149125	4488.00 AUD	8	2	2020.00 AUD	new	in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	"Experience deep, restful sleep with OMF's Cloud7 Firm King Size Mattress. Designed for ultimate support and comfort. Reward yourself with improved shut-eye tonight.
"	unisex	furniture > beds & accessories > mattresses	no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/Cloud7Firm1K_70614519-8eda-493e-b08e-a401dd5bc035.jpg?v=1699461633		https://www.omf.net.au/products/cloud7-firm-kg-mattress?variant=42373345149125&currency=AUD	Mattress		0 kg	
Urban Luxe Mattress Plush Super King | OMF	shopify_AU_7716639801541_43029478539461	4898.00 AUD	5	1	1959.00 AUD	new	in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	Are you looking for some stylish luxury in your bedroom? Talk to the OMF Experts today about the Urban Luxe Eco Foam mattress!	unisex	furniture > beds & accessories > mattresses	no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/UrbanLuxFA01_ad2f6d13-e9c8-43a8-9444-85c3606fbb61.png?v=1711515127		https://www.omf.net.au/products/urban-luxe-mattress-plush-sk?variant=43029478539461&currency=AUD	Mattress		0 kg	
Jamie Single Bed White | OMF	shopify_AU_7529283190981_42470921175237	178.00 AUD	75	6			in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	"This Jamie Single Bed is designed to be timeless and works with any decor you choose. The 100% Steel frame is both supportive and built to last, while the easy assembly comes with all the tools you need. With the 25cm off floor height, you’ll have extra storage to help keep the room neat and tidy. It’s 100% Comfy for your kids! Available in two colours - white and black."		furniture > beds & accessories > beds & bed frames		https://cdn.shopify.com/s/files/1/0523/6729/4661/files/OM-FRBF-PS_2.jpg?v=1698770298		https://www.omf.net.au/products/jamie-sg-bed-white?variant=42470921175237&currency=AUD	Bed Frame		18.1 kg	
Revivify Firm Single Mattress | OMF	shopify_AU_7594097279173_42640285401285	498.00 AUD	1	1	433.00 AUD	new	in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	"With its Euro-top pillow, this hybrid firm mattress offers a firm feel with quality sleep night after night that you will love. For the best bed in box, order now!"	unisex	furniture > beds & accessories > mattresses	no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/RevivifyFirm-SteelstrongBase-FA01_6ba531fb-9917-4c47-ac03-78879e4f740f.jpg?v=1703695050		https://www.omf.net.au/products/revivify-firm-sg-mattress?variant=42640285401285&currency=AUD	Mattress		26.55 kg	
Premium 4 Drawer East West Queen Base Super King / Plush Sky | OMF	shopify_AU_6173705109701_42446623670469	1498.00 AUD	0	0			in stock	AU		AU		AU		Online	AU	en	https://cdn.shopify.com/s/files/1/0523/6729/4661/products/EastWest4DCA.jpg?v=1698165273,https://cdn.shopify.com/s/files/1/0523/6729/4661/products/EastWest4DFOA.jpg?v=1698165272,https://cdn.shopify.com/s/files/1/0523/6729/4661/products/EastWest4DOA.jpg?v=1698165274,https://cdn.shopify.com/s/files/1/0523/6729/4661/files/Rover-Ocean.jpg?v=1698165282	Original Mattress Factory Australia	Plush Sky		Receiving Clicks	The Premium 4 Drawer East West Base is the perfect bedroom addition. This platform base offers modern style and storage solutions. See it online today! 			no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/plush-sky_c478961a-bd33-4c02-aa37-8cdc12cc3d8f.jpg?v=1698165283	shopify_AU_6173705109701	https://www.omf.net.au/products/premium-4-drawer-east-west-base?variant=42446623670469&currency=AUD	Beds & Bases		0 kg	Super King
Revivify Firm King Mattress | OMF	shopify_AU_7594097836229_42640289988805	948.00 AUD	3	3	825.00 AUD	new	in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	"With its Euro-top pillow, this hybrid firm mattress offers a firm feel with quality sleep night after night that you will love. For the best bed in box, order now!"	unisex	furniture > beds & accessories > mattresses	no	https://cdn.shopify.com/s/files/1/0523/6729/4661/files/RevivifyFirm-SteelstrongBase-FA01_eae6bc84-fade-4aa7-99d0-834f889d249b.jpg?v=1703695065		https://www.omf.net.au/products/revivify-firm-kg-mattress?variant=42640289988805&currency=AUD	Mattress		55.04 kg	
Forest Timber King Bed Frame | OMF	shopify_AU_7793317871813_43261029384389	1148.00 AUD	1	2	918.00 AUD		in stock	AU		AU		AU		Online	AU	en		Original Mattress Factory Australia			Receiving Clicks	Transform your bedroom into a rustic oasis with the Forest Timber King Bed Frame made from reclaimed timber		furniture > beds & accessories > beds & bed frames		https://cdn.shopify.com/s/files/1/0523/6729/4661/files/T2_7360_6612000e-8172-4118-a1f5-b8d6037ee001.jpg?v=1713227548		https://www.omf.net.au/products/forest-timber-kg-bed-frame?variant=43261029384389&currency=AUD	Bed Frame		70 kg	
